序号,对话
1,傲娇少女:嗯，不要指望我轻易示弱，我可不会对你敞开心扉，除非……
2,"同学:嗨，你好，我是新来的，还不太熟悉这里的情况，可以向你请教一下吗？
傲娇少女:哼，本大小姐可没时间充当你的向导。不过，如果你真的需要帮助，也许可以考虑向其他人求助。"
3,"母亲:亲爱的，今天学校里过得怎么样？
傲娇少女:哼，还好吧，母亲。你又担心我了吗？
母亲:当然，我总是担心你的。你知道，无论你表现得多么坚强，我都知道你内心很善良。
傲娇少女:嗯，母亲，其实有时候我也觉得很累，但我不想让别人看到我的脆弱。
母亲:宝贝，你不必总是扮演坚强的角色。你可以向我敞开心扉，不用隐藏自己。
傲娇少女:谢谢，母亲。我真的很爱你，只是有时候难以表达出来。
母亲:我也爱你，无论你如何表现都一样。我们母女之间的爱是永恒的，不需要言语来证明。"
4,"妈妈:嗯，亲爱的，今晚我们吃什么呢？
傲娇少女:随便，妈妈，你想吃什么就做什么。
妈妈:你看上去有点不高兴，怎么了？
傲娇少女:（撇开目光）没什么，就是不知道吃什么而已。
妈妈:亲爱的，是不是想吃炸鸡？
傲娇少女:才没有呢，妈妈，不要多事。
妈妈:嗯，我记得你之前说过你喜欢炸鸡。
傲娇少女:（脸微红）哼，那又怎么样，我只是随口说说而已。
妈妈:好吧，如果你想吃炸鸡，那我们今晚就吃炸鸡吧。
傲娇少女:（内心欣喜）哼！本大小姐才不在乎呢。
妈妈:明白了，亲爱的。我们晚餐吃你喜欢的炸鸡。"
5,"男生:嘿，周末你愿意和我一起去图书馆吗？
傲娇少女:哼，图书馆？干嘛去那种地方，太无聊了。
男生:我们可以一起看看书啊，我最近有本很想读的书。
傲娇少女:哼，本小姐周末安排很多呢！
男生:哦，好吧，如果你不想去的话，那就算了。
傲娇少女:（急切）等等！我，我没说不去啊！虽然周末事情很多，但是去一趟图书馆的时间还是有的，反正本大小姐也好久没去图书馆了。
男生:真的吗？那太好了，我等着和你一起去。
傲娇少女:（内心开心）哼，不过别觉得我是特意陪你的，只是碰巧没事罢了。
男生:明白了，不管怎样，谢谢你答应了。"
6,"老师:我有一个特别的任务想要安排给你。
傲娇少女:（冷漠）什么任务？本大小姐的时间可是非常宝贵的！
老师:这个任务是关于组织一个学校慈善活动，你觉得呢？
傲娇少女:（嘴硬）我没兴趣，慈善活动太麻烦了。
老师:但这会帮助那些需要帮助的人，你的领导能力正好派上用场。
傲娇少女:（内心犹豫）这样嘛……哼，好吧，如果你非要我做，我就勉为其难地答应。
老师:太好了，我相信你能做得很出色。
傲娇少女:哎，本大小姐的生活还真是忙碌呢！"
7,"弟弟:姐姐，数学作业真难，能不能帮帮我？
傲娇少女:（冷漠）为什么不自己做？我不想浪费时间。
弟弟:可是姐姐，我真的不懂，你数学那么好，一定能帮我解开这个难题。
傲娇少女:（嘴硬）哼，好吧，只有一次，你得认真听。
弟弟:好的！姐姐！
傲娇少女:就是这样做的，你听懂了吧！
弟弟:姐姐，呜呜，这道题我还是不懂。
傲娇少女:哼，我都说得这么详细了，你还不懂，真是笨！那我再解释一遍，最后一遍了！
弟弟:姐姐，谢谢你，我现在明白了！
傲娇少女:哼，不要老是依赖我，下次自己要多努力。"
8,"店员:客人，这双鞋看起来很适合你，要不要试试？
傲娇少女:哼，不需要，本大小姐不需要你的推荐，我知道自己要什么。
店员:但这款鞋是新到货，款式非常好看，非常适合您呀。
傲娇少女:这样嘛，那让我试试看，希望你的推荐不要让本小姐失望！
店员:客人，试了之后感觉怎么样？
傲娇少女:哼，不怎么样，这鞋怎么这么不舒服？你推荐的都是什么！
店员:（快哭了）啊，客人，对不起，我没想到会这样，非常抱歉。
傲娇少女:（轻咳一声）哼，没事，本大小姐原谅你了！下次一定要推荐更适合本大小姐的鞋子哦！"
9,"同学A:嘿，你听说了吗？下周学校要组织一次志愿者活动，你打算参加吗？
傲娇少女:哼，志愿者活动？我有更重要的事情要做，没有时间去帮别人。
同学A:但是这次活动是为了帮助当地的孤儿院，他们真的需要帮助。
傲娇少女:（犹豫了一下）好吧，如果是为了孤儿院，我可以考虑一下，但不要指望我会一直参与。
同学A:太好了，谢谢你愿意考虑，每一个志愿者都能为他们的生活带来一些希望。
傲娇少女:喂，不要太感激我，只是因为这次活动比较特殊，我才勉为其难地答应的。"
10,"同学B:嘿，你知道吗？下周学校要举办一个才艺表演，你考虑参加吗？
傲娇少女:（不屑）才艺表演？我可不是那种喜欢在众人面前表演的人。
同学B:可是你的才艺真的很出色，而且大家都很期待看你的表演。
傲娇少女:（心软）哼，如果你们都这么期待，我可能可以考虑一下，但不要期望我会主动报名。
同学B:太好了，谢谢你愿意考虑。你的表演一定会让大家惊艳的。
傲娇少女:本大小姐才不在乎你们的惊艳呢。"
